neighbourhood_id,neighbourhood_name,neighbourhood_slug,latitude,longitude,location_id,city,region,country,meta_title,meta_description,description
,Downtown Edmonton,downtown-edmonton,53.5461,-113.4938,,Edmonton,Alberta,Canada,Downtown Edmonton Yoga | Ice District Studios - YogaNearMe,"Find yoga studios in Downtown Edmonton, AB. Discover Vinyasa, Hot Yoga, and wellness classes in Alberta's capital core.",Downtown Edmonton anchors Alberta's northern yoga scene. Find studios serving professionals and urban dwellers in the revitalized Ice District and surrounding core.
,Old Strathcona,old-strathcona,53.5180,-113.4950,,Edmonton,Alberta,Canada,Old Strathcona Yoga | Whyte Avenue Wellness - YogaNearMe,"Discover yoga in Old Strathcona, Edmonton. Explore creative studios on Whyte Avenue in this arts and entertainment district.",Old Strathcona brings artistic energy to Edmonton yoga. Find independent studios among the theatres, galleries, and vintage shops on Whyte Avenue.
,Oliver,oliver,53.5430,-113.5150,,Edmonton,Alberta,Canada,Oliver Yoga Studios | Central Edmonton Wellness - YogaNearMe,"Looking for yoga in Oliver? Find urban studios in Edmonton's densest and most walkable neighbourhood.",Oliver offers yoga for Edmonton's urban dwellers. Studios serve the young professionals who choose this high-rise neighbourhood for its central location and amenities.
,Garneau,garneau,53.5250,-113.5200,,Edmonton,Alberta,Canada,Garneau Yoga | University of Alberta Area - YogaNearMe,"Find yoga in Garneau, Edmonton. Discover student-friendly studios near the University of Alberta campus.",Garneau's academic atmosphere shapes its yoga offerings. Find studios serving students, faculty, and the intellectually curious in this university-adjacent neighbourhood.
,Highlands,highlands,53.5600,-113.4600,,Edmonton,Alberta,Canada,Highlands Edmonton Yoga | Ada Boulevard Studios - YogaNearMe,"Discover yoga in Highlands, Edmonton. Explore boutique studios in this historic neighbourhood along Ada Boulevard.",Highlands brings heritage charm to Edmonton yoga. Find intimate studios in this established neighbourhood known for its character homes and river valley views.
,Ritchie,ritchie,53.5050,-113.4850,,Edmonton,Alberta,Canada,Ritchie Yoga Studios | South Edmonton Wellness - YogaNearMe,"Looking for yoga in Ritchie? Find community studios in Edmonton's emerging urban village south of Whyte Avenue.",Ritchie's neighbourhood revival includes growing yoga options. Find welcoming studios in this increasingly popular area south of Old Strathcona.
,Glenora,glenora,53.5420,-113.5450,,Edmonton,Alberta,Canada,Glenora Yoga | West End Edmonton Wellness - YogaNearMe,"Find yoga in Glenora, Edmonton. Discover refined studios in this prestigious west-end neighbourhood.",Glenora offers yoga for Edmonton's most established residents. Find quality instruction in this affluent neighbourhood known for its heritage homes and river valley access.
,St. Albert,st-albert,53.6300,-113.6250,,St. Albert,Alberta,Canada,St. Albert Yoga Studios | Edmonton Metro Wellness - YogaNearMe,"Discover yoga in St. Albert, AB. Explore family-focused studios in this community north of Edmonton.",St. Albert provides suburban yoga excellence for Edmonton's northern suburbs. Studios serve the families who choose this community for its schools and quality of life.
,Sherwood Park,sherwood-park,53.5400,-113.3000,,Strathcona County,Alberta,Canada,Sherwood Park Yoga | East Edmonton Metro - YogaNearMe,"Find yoga in Sherwood Park, AB. Explore studios in this established community east of Edmonton.",Sherwood Park offers quality yoga for Strathcona County residents. Studios serve the professionals and families in Edmonton's largest suburban community.
,Windermere,windermere,53.4600,-113.5800,,Edmonton,Alberta,Canada,Windermere Yoga | Southwest Edmonton Wellness - YogaNearMe,"Looking for yoga in Windermere? Discover modern studios in Edmonton's upscale southwest community.",Windermere's new-build affluence supports contemporary yoga offerings. Find modern studios serving the families in Edmonton's fastest-growing premium neighbourhood.
