neighbourhood_id,neighbourhood_name,neighbourhood_slug,latitude,longitude,location_id,city,region,country,meta_title,meta_description,description
,Downtown San Jose,downtown-san-jose,37.3382,-121.8863,,San Jose,California,United States,Downtown San Jose Yoga | Tech Hub Studios - YogaNearMe,"Find yoga studios in Downtown San Jose, CA. Discover Vinyasa, Hot Yoga, and wellness classes in Silicon Valley's urban core.",Downtown San Jose brings yoga to the heart of Silicon Valley. Find studios serving tech workers, urban residents, and the creative professionals reshaping this urban core.
,Willow Glen,willow-glen,37.3080,-121.8910,,San Jose,California,United States,Willow Glen Yoga Studios | Lincoln Avenue Wellness - YogaNearMe,"Discover yoga in Willow Glen, San Jose. Explore boutique studios in this charming village neighbourhood on Lincoln Avenue.",Willow Glen's village charm supports a thriving yoga community. Find quality studios among the independent shops and restaurants that define this beloved San Jose neighbourhood.
,Santana Row,santana-row,37.3210,-121.9480,,San Jose,California,United States,Santana Row Yoga | West San Jose Wellness - YogaNearMe,"Looking for yoga near Santana Row? Find upscale studios in San Jose's premier shopping and dining destination.",Santana Row brings polished yoga to San Jose's west side. Find contemporary studios serving the affluent professionals drawn to this lifestyle destination.
,Campbell,campbell,37.2871,-121.9500,,Campbell,California,United States,Campbell CA Yoga Studios | Downtown Campbell - YogaNearMe,"Find yoga in Campbell, CA. Discover welcoming studios in this charming downtown west of San Jose.",Campbell offers small-town yoga charm minutes from Silicon Valley tech campuses. Find community-focused studios along the downtown's walkable streets.
,Los Gatos,los-gatos,37.2358,-121.9624,,Los Gatos,California,United States,Los Gatos Yoga | Luxury South Bay Wellness - YogaNearMe,"Discover yoga in Los Gatos, CA. Explore boutique studios in this affluent foothill community south of San Jose.",Los Gatos brings mountain-town elegance to South Bay yoga. Find premium studios serving the executives and families in this exclusive foothill community.
,Almaden Valley,almaden-valley,37.2300,-121.8600,,San Jose,California,United States,Almaden Valley Yoga | South San Jose Studios - YogaNearMe,"Looking for yoga in Almaden Valley? Find family-friendly studios in this suburban South San Jose community.",Almaden Valley offers yoga for San Jose's established families. Find quality instruction in this sought-after community known for its schools and quality of life.
,Japantown,japantown,37.3480,-121.8950,,San Jose,California,United States,Japantown San Jose Yoga | Historic District Wellness - YogaNearMe,"Find yoga in Japantown, San Jose. Discover unique studios in one of three remaining Japantowns in the United States.",Japantown brings cultural depth to San Jose yoga. Find studios that honour this historic neighbourhood's heritage while serving the diverse modern community.
,Rose Garden,rose-garden,37.3350,-121.9320,,San Jose,California,United States,Rose Garden Yoga Studios | Central San Jose Wellness - YogaNearMe,"Discover yoga in Rose Garden, San Jose. Explore neighbourhood studios in this established residential area.",The Rose Garden neighbourhood provides accessible yoga for San Jose families. Find welcoming studios in this community known for its historic homes and namesake park.
,Evergreen,evergreen,37.3150,-121.7850,,San Jose,California,United States,Evergreen San Jose Yoga | East Foothills Wellness - YogaNearMe,"Find yoga in Evergreen, San Jose. Explore studios in this family-focused community in the eastern foothills.",Evergreen offers suburban yoga in San Jose's eastern hills. Studios serve the diverse families drawn to this community's schools and outdoor access.
,Cupertino,cupertino,37.3230,-122.0322,,Cupertino,California,United States,Cupertino Yoga Studios | Apple Campus Wellness - YogaNearMe,"Looking for yoga in Cupertino? Find modern studios near Apple Park in the heart of Silicon Valley.",Cupertino brings tech-world expectations to yoga. Find contemporary studios serving Apple employees and the international community in this South Bay hub.
,Sunnyvale,sunnyvale,37.3688,-122.0363,,Sunnyvale,California,United States,Sunnyvale CA Yoga | Silicon Valley Central - YogaNearMe,"Find yoga in Sunnyvale, CA. Discover studios serving tech professionals in the heart of Silicon Valley.",Sunnyvale anchors Silicon Valley's yoga scene. Find diverse studios serving Google, LinkedIn, and the countless tech workers who live and work in this central South Bay city.
,Mountain View,mountain-view,37.3861,-122.0839,,Mountain View,California,United States,Mountain View Yoga Studios | Google Campus Wellness - YogaNearMe,"Discover yoga in Mountain View, CA. Explore studios near Google headquarters and Castro Street.",Mountain View blends tech culture with downtown charm. Find studios serving Google employees and the diverse community along historic Castro Street.
