neighbourhood_id,neighbourhood_name,neighbourhood_slug,latitude,longitude,location_id,city,region,country,meta_title,meta_description,description
,Centretown,centretown,45.4150,-75.6980,,Ottawa,Ontario,Canada,Centretown Ottawa Yoga | Downtown Studios - YogaNearMe,"Find yoga studios in Centretown, Ottawa. Discover Vinyasa, Hot Yoga, and wellness classes in Canada's capital core.",Centretown anchors Ottawa's urban yoga scene. Find studios serving federal workers, young professionals, and the diverse community in the heart of the nation's capital.
,The Glebe,the-glebe,45.4000,-75.6900,,Ottawa,Ontario,Canada,Glebe Ottawa Yoga Studios | Bank Street Wellness - YogaNearMe,"Discover yoga in The Glebe, Ottawa. Explore boutique studios on Bank Street in this vibrant urban village.",The Glebe's village atmosphere supports a thriving yoga community. Find quality studios among the independent shops and cafes that define this beloved Ottawa neighbourhood.
,Westboro,westboro,45.3950,-75.7450,,Ottawa,Ontario,Canada,Westboro Yoga | West Ottawa Wellness - YogaNearMe,"Looking for yoga in Westboro? Find trendy studios in Ottawa's hippest neighbourhood along Richmond Road.",Westboro brings contemporary yoga to Ottawa's west end. Studios here serve the young professionals and families drawn to this walkable, wellness-focused neighbourhood.
,Hintonburg,hintonburg,45.4050,-75.7350,,Ottawa,Ontario,Canada,Hintonburg Yoga Studios | Wellington West Wellness - YogaNearMe,"Find yoga in Hintonburg, Ottawa. Discover creative studios on Wellington Street West in this artsy neighbourhood.",Hintonburg's creative energy infuses its yoga offerings. Find independent studios alongside galleries and cafes in Ottawa's most artistic neighbourhood.
,Old Ottawa South,old-ottawa-south,45.3900,-75.6850,,Ottawa,Ontario,Canada,Old Ottawa South Yoga | Canal District Wellness - YogaNearMe,"Discover yoga in Old Ottawa South. Explore neighbourhood studios near the Rideau Canal in this family-friendly area.",Old Ottawa South offers yoga with canal views and community spirit. Studios serve the families and professionals in this desirable residential neighbourhood.
,Byward Market,byward-market,45.4280,-75.6920,,Ottawa,Ontario,Canada,Byward Market Yoga | Downtown Ottawa Studios - YogaNearMe,"Looking for yoga in Byward Market? Find urban studios in Ottawa's historic market district.",Byward Market brings yoga to Ottawa's tourism and nightlife centre. Find studios serving downtown workers and visitors in this historic market neighbourhood.
,Little Italy,little-italy,45.4100,-75.7150,,Ottawa,Ontario,Canada,Little Italy Ottawa Yoga | Preston Street Wellness - YogaNearMe,"Find yoga in Little Italy, Ottawa. Discover community studios on Preston Street in this vibrant neighbourhood.",Little Italy's food culture extends to wellness. Find welcoming studios in this tight-knit neighbourhood known for its restaurants and community pride.
,Orleans,orleans,45.4700,-75.5200,,Ottawa,Ontario,Canada,Orleans Yoga Studios | East Ottawa Wellness - YogaNearMe,"Discover yoga in Orleans, Ottawa. Explore family-friendly studios in Ottawa's largest suburban community.",Orleans provides suburban yoga convenience for Ottawa's east end. Studios serve the diverse families in this bilingual community.
,Kanata,kanata,45.3000,-75.9000,,Ottawa,Ontario,Canada,Kanata Yoga | West Ottawa Tech Corridor - YogaNearMe,"Find yoga in Kanata, Ottawa. Explore modern studios in Canada's Silicon Valley North.",Kanata's tech workforce drives demand for quality yoga. Find studios serving the professionals and families in Ottawa's innovation hub.
,Barrhaven,barrhaven,45.2750,-75.7400,,Ottawa,Ontario,Canada,Barrhaven Yoga Studios | South Ottawa Wellness - YogaNearMe,"Looking for yoga in Barrhaven? Discover growing studios in Ottawa's rapidly expanding south end.",Barrhaven's suburban growth has attracted quality yoga instruction. Studios serve the young families driving this community's expansion.
,Sandy Hill,sandy-hill,45.4230,-75.6780,,Ottawa,Ontario,Canada,Sandy Hill Yoga | University Ottawa Wellness - YogaNearMe,"Find yoga in Sandy Hill, Ottawa. Discover student-friendly studios near the University of Ottawa campus.",Sandy Hill blends student energy with embassy elegance. Find accessible yoga serving students and the professionals in this diverse central neighbourhood.
,New Edinburgh,new-edinburgh,45.4400,-75.6750,,Ottawa,Ontario,Canada,New Edinburgh Yoga | Rideau River Studios - YogaNearMe,"Discover yoga in New Edinburgh, Ottawa. Explore boutique studios in this charming village neighbourhood.",New Edinburgh's village character supports intimate yoga experiences. Find quality studios in this historic neighbourhood near Rideau Hall.
